Date,State,Category,Dollars,LastYear
2021-01-31,Colorado,Alcohol,7343952,6502577
2021-02-07,Colorado,Alcohol,8085799,6429913
2021-02-14,Colorado,Alcohol,7944064,6185315
2021-02-21,Colorado,Alcohol,7275980,5981431
2021-02-28,Colorado,Alcohol,7484842,6031574
2021-03-07,Colorado,Alcohol,7675593,6557000
2021-03-14,Colorado,Alcohol,9546545,8605512
2021-03-21,Colorado,Alcohol,7657185,9218473
2021-03-28,Colorado,Alcohol,7801280,8005024
2021-04-04,Colorado,Alcohol,9070124,7337952
2021-04-11,Colorado,Alcohol,8311594,8120518
2021-04-18,Colorado,Alcohol,7703922,7434499
2021-04-25,Colorado,Alcohol,8052327,8223401
2021-05-02,Colorado,Alcohol,8870577,9027574
2021-05-09,Colorado,Alcohol,8848270,9092757
2021-05-16,Colorado,Alcohol,8482049,8833442
2021-05-23,Colorado,Alcohol,9151501,10403700
2021-05-30,Colorado,Alcohol,10649806,9548449
2021-06-06,Colorado,Alcohol,10308543,9530282
2021-06-13,Colorado,Alcohol,10645818,9544168
2021-06-20,Colorado,Alcohol,11022796,9806123
2021-06-27,Colorado,Alcohol,10159910,9481121
2021-07-04,Colorado,Alcohol,12188356,11617899
2021-07-11,Colorado,Alcohol,11012330,9217232
2021-07-18,Colorado,Alcohol,10271300,9276101
2021-07-25,Colorado,Alcohol,10408291,9089861
2021-08-01,Colorado,Alcohol,10067197,9231442
2021-08-08,Colorado,Alcohol,9936044,9405362
2021-08-15,Colorado,Alcohol,10019689,9273888
2021-08-22,Colorado,Alcohol,9691759,9100027
2019-10-06,Connecticut,Alcohol,1604159,1562680
2019-10-13,Connecticut,Alcohol,1523011,1563526
2019-10-20,Connecticut,Alcohol,1540397,1479304
2019-10-27,Connecticut,Alcohol,1537572,1599568
2019-11-03,Connecticut,Alcohol,1537243,1505488
2019-11-10,Connecticut,Alcohol,1421971,1412826
2019-11-17,Connecticut,Alcohol,1411113,1624550
2019-11-24,Connecticut,Alcohol,1651636,1954794
2019-12-01,Connecticut,Alcohol,1950461,1270814
2019-12-08,Connecticut,Alcohol,1394598,1443171
2019-12-15,Connecticut,Alcohol,1498283,1496305
2019-12-22,Connecticut,Alcohol,1897581,1889965
2019-12-29,Connecticut,Alcohol,2181965,1952959
2020-01-05,Connecticut,Alcohol,1526119,1503776
2020-01-12,Connecticut,Alcohol,1176263,1150140
2020-01-19,Connecticut,Alcohol,1296296,1322546
2020-01-26,Connecticut,Alcohol,1330004,1270898
2020-02-02,Connecticut,Alcohol,1408677,1379765
2020-02-09,Connecticut,Alcohol,1587713,1505747
2020-02-16,Connecticut,Alcohol,1275620,1268795
2020-02-23,Connecticut,Alcohol,1284040,1206901
2020-03-01,Connecticut,Alcohol,1255237,1221515
2020-03-08,Connecticut,Alcohol,1372401,1272934
2020-03-15,Connecticut,Alcohol,1977091,1360202
2020-03-22,Connecticut,Alcohol,2378498,1365573
2020-03-29,Connecticut,Alcohol,1770304,1340034
2020-04-05,Connecticut,Alcohol,1845964,1381217
2020-04-12,Connecticut,Alcohol,1934810,1603094
2020-04-19,Connecticut,Alcohol,1768625,1482240
2020-04-26,Connecticut,Alcohol,1925677,1157866
2020-05-03,Connecticut,Alcohol,2017774,1421526
2020-05-10,Connecticut,Alcohol,2125052,1605266
2020-05-17,Connecticut,Alcohol,2180505,1630919
2020-05-24,Connecticut,Alcohol,2564549,2125327
2020-05-31,Connecticut,Alcohol,2656265,2302135
2020-06-07,Connecticut,Alcohol,2404060,1945152
2020-06-14,Connecticut,Alcohol,2554880,2065610
2020-06-21,Connecticut,Alcohol,2790788,1939478
2020-06-28,Connecticut,Alcohol,2743365,2338279
2020-07-05,Connecticut,Alcohol,3020834,3297895
2020-07-12,Connecticut,Alcohol,2532807,2095940
2020-07-19,Connecticut,Alcohol,2378322,2133435
2020-07-26,Connecticut,Alcohol,2536977,2168106
2020-08-02,Connecticut,Alcohol,2480800,2141167
